repository,repoStars,repoLastFetched,commit,path
github.com/bowtie-json-schema/bowtie,51,2024-09-03T11:55:20.012809Z,5d218f353e8dc96f2c32e0e0676032a6452ad51b,implementations/dotnet-corvus-jsonschema/metaschema/draft2020-12/meta/format-annotation.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Ambient-Aurea/Ambient-Aurea-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/format.json
github.com/vsrinivas/fuchsia,338,2024-09-03T16:11:37.424934Z,30435a9d0f0b67c94e3c70760b522c9f7fbbd6be,third_party/rust_crates/vendor/schemars-0.8.10/tests/expected/from_value_2019_09.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Aurora-Player/Aurora-Player-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/format.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Font-Increase/Font-Increase-Chrome-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/format.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Date-Today/Date-Today-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/unevaluated.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Font-Increase/Font-Increase-Chrome-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Font-Increase/Font-Increase-Chrome-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/meta-data.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/meta-data.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/applicator.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/applicator.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/validation.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/validation.json
github.com/GoogleCloudPlatform/prometheus,37,2024-09-03T02:23:59.95232Z,ffdc74ffe8032c46d23dc2f3559620419f230ea9,web/ui/node_modules/workbox-build/node_modules/ajv/lib/refs/json-schema-2019-09/meta/core.json
github.com/GoogleCloudPlatform/prometheus,37,2024-09-03T02:23:59.95232Z,ffdc74ffe8032c46d23dc2f3559620419f230ea9,web/ui/node_modules/workbox-build/node_modules/ajv/lib/refs/json-schema-2020-12/meta/core.json
github.com/csaf-poc/csaf_distribution,37,2024-09-03T02:31:35.774651Z,108c2f5508872c03b0055566263b3e37dc5281bd,csaf/schema/aggregator_json_schema.json
github.com/csaf-poc/csaf_distribution,37,2024-09-03T02:31:35.774651Z,108c2f5508872c03b0055566263b3e37dc5281bd,csaf/schema/ROLIE_feed_json_schema.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Ambient-Aurea/Ambient-Aurea-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/format.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Aurora-Player/Aurora-Player-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/format.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/unevaluated.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Ambient-Aurea/Ambient-Aurea-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Aurora-Player/Aurora-Player-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2019-09/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Font-Increase/Font-Increase-Chrome-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Ambient-Aurea/Ambient-Aurea-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Aurora-Player/Aurora-Player-browser-extension/node_modules/table/node_modules/ajv/lib/refs/json-schema-2020-12/meta/content.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Font-Increase/Font-Increase-Chrome-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/content.json
github.com/flanksource/canary-checker,180,2024-09-03T13:55:57.696093Z,b1785ec7adb019bdd9b15052660e165dcd2f6666,config/schemas/health_awsconfigrule.schema.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/applicator.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/applicator.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/copy-webpack-plugin/node_modules/ajv/dist/refs/json-schema-2019-09/meta/core.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/copy-webpack-plugin/node_modules/ajv/dist/refs/json-schema-2020-12/meta/core.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2019-09/meta/validation.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/mini-css-extract-plugin/node_modules/ajv/lib/refs/json-schema-2019-09/schema.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/webpack-dev-middleware/node_modules/ajv/dist/refs/json-schema-2019-09/schema.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/validation.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/mini-css-extract-plugin/node_modules/ajv/lib/refs/json-schema-2020-12/schema.json
github.com/lottie/lottie-spec,40,2024-09-03T06:03:35.719783Z,555e137d196adef3643e757b368b145c26401811,schema/properties/scalar-property.json
github.com/stacks-network/docs,156,2024-09-03T16:24:41.838872Z,ef69034c9d461a1f9568e9b165a3bd6d35211150,node_modules/webpack-dev-middleware/node_modules/ajv/dist/refs/json-schema-2020-12/schema.json
github.com/PowerShell/DSC,195,2024-09-03T03:52:28.664896Z,f42d1fb8c23a3802e569c52deee82e58b5518a8e,schemas/2023/10/outputs/config/test.json
github.com/stefanvd/Browser-Extensions,63,2024-09-03T14:21:29.434808Z,9e75382111e680917793beac481710c5c421729d,Full-Screen/Full-Screen-browser-extension/node_modules/table/node_modules/ajv/dist/refs/json-schema-2020-12/meta/unevaluated.json
